algo,signal,TPR,FPR,J
PPO,value,0.42666666666666664,0.06666666666666667,0.36
PPO,entropy,0.9466666666666667,0.12,0.8266666666666668
PPO,advantage,0.36,0.04,0.31999999999999995
SAC,q_min,0.64,0.3466666666666667,0.29333333333333333
SAC,entropy,0.5333333333333333,0.26666666666666666,0.2666666666666666
SAC,td_error,0.6933333333333334,0.39999999999999997,0.29333333333333333
PPO_DR,value,0.9733333333333334,0.0,0.9733333333333334
PPO_DR,entropy,1.0,0.013333333333333332,0.9866666666666667
PPO_DR,advantage,0.76,0.0,0.76
