algo,condition,seed,episode,return,length,switched,fired_at
PPO_DR,C5,0,9,-17.669757419871516,262,False,283.0
PPO_DR,C5,0,10,239.13447606098418,363,True,276.0
PPO_DR,C5,0,11,216.5058697427811,354,True,265.0
PPO_DR,C5,0,12,28.14108714441221,281,True,269.0
PPO_DR,C5,0,13,-7.405064514912368,279,True,276.0
PPO_DR,C5,0,14,27.62058549224389,302,True,269.0
PPO_DR,C5,0,15,-21.3876369655069,286,False,297.0
PPO_DR,C5,0,16,-25.05755775967262,286,True,276.0
PPO_DR,C5,0,17,-14.035452912724779,266,False,269.0
PPO_DR,C5,0,18,53.7818659721695,278,True,269.0
PPO_DR,C5,0,19,10.339723470363467,271,True,265.0
PPO_DR,C1,1,0,200.35751007106592,532,False,
PPO_DR,C1,1,1,228.61210982852663,926,False,
PPO_DR,C1,1,2,124.898019148499,1000,False,
PPO_DR,C1,1,3,159.63042838924548,1000,False,
PPO_DR,C1,1,4,117.00915181458936,1000,False,
PPO_DR,C1,1,5,108.95073682041595,1000,False,
PPO_DR,C1,1,6,220.56135852673822,603,False,
PPO_DR,C1,1,7,112.78250996198464,1000,False,
PPO_DR,C1,1,8,152.04643689528288,1000,False,
PPO_DR,C1,1,9,126.64091885252171,1000,False,
PPO_DR,C1,1,10,140.900949272434,1000,False,
PPO_DR,C1,1,11,103.29544626410133,1000,False,
PPO_DR,C1,1,12,122.28351146425385,1000,False,
PPO_DR,C1,1,13,226.5061920528937,427,False,
PPO_DR,C1,1,14,203.6782595868681,497,False,
PPO_DR,C1,1,15,104.73831980052739,1000,False,
PPO_DR,C1,1,16,223.28667081695454,464,False,
PPO_DR,C1,1,17,127.32787174673634,1000,False,
PPO_DR,C1,1,18,227.7001970479426,515,False,
PPO_DR,C1,1,19,110.503319623957,1000,False,
PPO_DR,C2,1,0,-1.6772944734230464,277,False,
PPO_DR,C2,1,1,16.40401924183658,305,False,
PPO_DR,C2,1,2,16.822895545240513,279,False,
PPO_DR,C2,1,3,48.41307732655082,274,False,
PPO_DR,C2,1,4,131.88087905804656,1000,False,
PPO_DR,C2,1,5,18.12334593186216,275,False,
PPO_DR,C2,1,6,18.56400132057857,290,False,
PPO_DR,C2,1,7,217.4949519351747,342,False,
PPO_DR,C2,1,8,166.8235300387281,1000,False,
PPO_DR,C2,1,9,15.011670871486302,287,False,
PPO_DR,C2,1,10,43.82067263767024,281,False,
PPO_DR,C2,1,11,20.81237206410404,288,False,
PPO_DR,C2,1,12,28.07259338491818,279,False,
PPO_DR,C2,1,13,-5.658614314919959,273,False,
PPO_DR,C2,1,14,133.60006515960333,1000,False,
PPO_DR,C2,1,15,12.157921951942939,273,False,
