algo,rate,seed,episode,return,length,final_gain
PPO,0.02,4,9.0,-46.96193083486219,167.0,0.0
PPO,0.02,4,10.0,-60.79980316810622,174.0,0.0
PPO,0.02,4,11.0,-77.18711173334603,170.0,0.0
PPO,0.02,4,12.0,-64.0345452673498,167.0,0.0
PPO,0.02,4,13.0,-63.48140705080141,167.0,0.0
PPO,0.02,4,14.0,-27.836651863331625,173.0,0.0
PPO,0.02,4,15.0,-40.32538055579242,171.0,0.0
PPO,0.02,4,16.0,-41.87769716805798,170.0,0.0
PPO,0.02,4,17.0,-50.40996198884207,177.0,0.0
PPO,0.02,4,18.0,-76.87274870607078,166.0,0.0
PPO,0.02,4,19.0,-50.471181891366484,172.0,0.0
PPO,0.01,0,0.0,2.874650056790756,191.0,0.09999999999999998
PPO,0.01,0,1.0,-24.806372270965824,208.0,0.0
PPO,0.01,0,2.0,-38.931724765882294,201.0,0.0
PPO,0.01,0,3.0,15.633199172695171,194.0,0.06999999999999995
PPO,0.01,0,4.0,-48.018852231627555,195.0,0.05999999999999994
PPO,0.01,0,5.0,-51.842103017852196,199.0,0.020000000000000018
PPO,0.01,0,6.0,-29.20885713184194,198.0,0.030000000000000027
PPO,0.01,0,7.0,-23.267840960879056,209.0,0.0
PPO,0.01,0,8.0,-13.360026070779682,192.0,0.08999999999999997
PPO,0.01,0,9.0,-50.13836629551676,205.0,0.0
PPO,0.01,0,10.0,-39.194570567127826,196.0,0.04999999999999993
PPO,0.01,0,11.0,-46.987445323202785,196.0,0.04999999999999993
PPO,0.01,0,12.0,-42.63242639811448,191.0,0.09999999999999998
PPO,0.01,0,13.0,-20.505956737380828,200.0,0.010000000000000009
PPO,0.01,0,14.0,-39.18988167909646,196.0,0.04999999999999993
PPO,0.01,0,15.0,-29.64433525161577,202.0,0.0
PPO,0.01,0,16.0,-72.48762189452292,194.0,0.06999999999999995
PPO,0.01,0,17.0,-48.39257423625867,189.0,0.12
PPO,0.01,0,18.0,-29.191254392397184,200.0,0.010000000000000009
PPO,0.01,0,19.0,-49.79989559428874,211.0,0.0
PPO,0.01,1,0.0,-1.9266803622739843,181.0,0.19999999999999996
PPO,0.01,1,1.0,36.7361374702937,183.0,0.17999999999999994
PPO,0.01,1,2.0,23.912221290291257,181.0,0.19999999999999996
PPO,0.01,1,3.0,53.56239137533984,177.0,0.24
PPO,0.01,1,4.0,27.567232659405008,180.0,0.20999999999999996
PPO,0.01,1,5.0,1.6120125534643108,180.0,0.20999999999999996
PPO,0.01,1,6.0,10.55145135105883,182.0,0.18999999999999995
PPO,0.01,1,7.0,-5.555061534655707,183.0,0.17999999999999994
PPO,0.01,1,8.0,34.80830043157678,181.0,0.19999999999999996
PPO,0.01,1,9.0,35.04218638907787,180.0,0.20999999999999996
PPO,0.01,1,10.0,27.23275464586851,179.0,0.21999999999999997
PPO,0.01,1,11.0,17.684538357320974,192.0,0.08999999999999997
PPO,0.01,1,12.0,16.59841474784396,187.0,0.14
PPO,0.01,1,13.0,15.641069029287237,186.0,0.15000000000000002
PPO,0.01,1,14.0,7.25703912635295,190.0,0.10999999999999999
PPO,0.01,1,15.0,8.621624132178312,183.0,0.17999999999999994
PPO,0.01,1,16.0,30.795273154111783,182.0,0.18999999999999995
PPO,0.01,1,17.0,22.538631666005898,187.0,0.14
PPO,0.01,1,18.0,38.09090463424275,180.0,0.20999999999999996
PPO,0.01,1,19.0,-3.3535776972583307,193.0,0.07999999999999996
PPO,0.01,2,0.0,-44.95376963614554,196.0,0.04999999999999993
PPO,0.01,2,1.0,-46.32589928690953,211.0,0.0
PPO,0.01,2,2.0,-13.502257880305422,199.0,0.020000000000000018
PPO,0.01,2,3.0,-50.76482915924984,211.0,0.0
PPO,0.01,2,4.0,-52.5707747982749,204.0,0.0
PPO,0.01,2,5.0,-24.235800052863,194.0,0.06999999999999995
PPO,0.01,2,6.0,-66.78867993081474,203.0,0.0
PPO,0.01,2,7.0,-21.23357355301046,201.0,0.0
