algo,condition,seed,episode,rho,lam
PPO,nominal,0.0,0.0,0.2689110184525394,1.6020564503499009
PPO,nominal,0.0,1.0,0.16199399198051617,1.709424038385414
PPO,nominal,0.0,2.0,0.29250525774340397,1.8067163929454284
PPO,nominal,0.0,3.0,0.20873358462082003,1.9637238143862057
PPO,nominal,0.0,4.0,0.00959119017464669,1.0227715987913981
PPO,nominal,0.0,5.0,0.41518301030303467,2.273645195027971
PPO,nominal,0.0,6.0,0.07390878510151347,1.2460831454072798
PPO,nominal,0.0,7.0,0.31729630384562163,2.1669167871067443
PPO,nominal,0.0,8.0,0.439167825004568,2.3351098353032254
PPO,nominal,0.0,9.0,0.05242545189491555,1.0998356830263452
PPO,nominal,0.0,10.0,-0.01592592633308178,0.9615047478508049
PPO,nominal,0.0,11.0,0.11560061434161022,1.2055841373227068
PPO,nominal,0.0,12.0,-0.02602568442576504,0.8940766107306615
PPO,nominal,0.0,13.0,0.35242321670870597,1.938437390802202
PPO,nominal,0.0,14.0,0.16553097573185477,1.6051426570994252
PPO,nominal,0.0,15.0,0.2294793190084197,1.5404430859399771
PPO,nominal,0.0,16.0,0.2832720554455234,3.5811750539089657
PPO,nominal,0.0,17.0,-0.06978843667584772,0.7230428112692003
PPO,nominal,0.0,18.0,0.3609331642656894,2.094758901646866
PPO,nominal,0.0,19.0,0.09917132870288223,1.5416547418617728
PPO,nominal,1.0,0.0,0.07135079807825884,1.2057509954306374
PPO,nominal,1.0,1.0,0.16653255390302124,2.2058772205549992
PPO,nominal,1.0,2.0,0.1681849172661691,1.374675595653127
PPO,nominal,1.0,3.0,-0.01891785197190979,0.9266455059860889
PPO,nominal,1.0,4.0,0.23216884304154856,2.273537699735122
PPO,nominal,1.0,5.0,0.20024484409605242,1.7879757702530414
PPO,nominal,1.0,6.0,0.25507177984908397,1.5501555146846848
PPO,nominal,1.0,7.0,-0.05906454425757094,0.7674082028194312
PPO,nominal,1.0,8.0,0.05590977496635006,1.36258399079446
PPO,nominal,1.0,9.0,0.2597861029649173,2.1977947519035377
PPO,nominal,1.0,10.0,0.02238267469369719,1.1897316546003274
PPO,nominal,1.0,11.0,0.13209406708593102,1.5913394720268443
PPO,nominal,1.0,12.0,0.2459727549143776,2.0006261932228253
PPO,nominal,1.0,13.0,-0.036157887280011076,0.8991060300430431
PPO,nominal,1.0,14.0,0.3673831938037749,4.025040048998395
PPO,nominal,1.0,15.0,0.016773872656956533,1.0644082226915137
PPO,nominal,1.0,16.0,0.604034068895597,14.978310423556435
PPO,nominal,1.0,17.0,0.0701312705182913,1.2517462162580113
PPO,nominal,1.0,18.0,0.025569653607040384,1.0870433624757814
PPO,nominal,1.0,19.0,-0.042371476012938725,0.8588700191321853
PPO,nominal,2.0,0.0,-0.03928092732149889,0.6166378145837701
PPO,nominal,2.0,1.0,-0.06741580782303642,0.3544452171645454
PPO,nominal,2.0,2.0,-0.057271296453073786,0.3294741583944581
PPO,nominal,2.0,3.0,-0.03636890890424481,0.7058196986678498
PPO,nominal,2.0,4.0,-0.06370594914531003,0.4045169115825264
PPO,nominal,2.0,5.0,-0.04879671285766137,0.6007165447064571
