algo,gain,fault_step,seed,episode,return,length
PPO,0.5,0,4,16.0,-153.95346667510222,96.0
PPO,0.5,0,4,17.0,-42.71108215262689,117.0
PPO,0.5,0,4,18.0,-81.6715722782036,110.0
PPO,0.5,0,4,19.0,-10.793979834668662,110.0
PPO,0.5,50,0,0.0,-4.971535967578816,130.0
PPO,0.5,50,0,1.0,24.579269018131527,171.0
PPO,0.5,50,0,2.0,8.973408130053386,170.0
PPO,0.5,50,0,3.0,7.521273583410675,164.0
PPO,0.5,50,0,4.0,-29.54798388785146,158.0
PPO,0.5,50,0,5.0,-52.746645364881246,151.0
PPO,0.5,50,0,6.0,14.30824909358941,175.0
PPO,0.5,50,0,7.0,25.240084208529296,179.0
PPO,0.5,50,0,8.0,2.1454792096523505,144.0
PPO,0.5,50,0,9.0,-9.735017404510032,150.0
PPO,0.5,50,0,10.0,-24.387132893271726,173.0
PPO,0.5,50,0,11.0,-0.49659940107241596,156.0
PPO,0.5,50,0,12.0,-23.86552312221741,154.0
PPO,0.5,50,0,13.0,-6.3718831177986885,161.0
PPO,0.5,50,0,14.0,28.307226051559553,170.0
PPO,0.5,50,0,15.0,-25.8293638336621,173.0
PPO,0.5,50,0,16.0,-51.068994376141944,162.0
PPO,0.5,50,0,17.0,-19.602090038565123,132.0
PPO,0.5,50,0,18.0,1.5739829454929009,164.0
PPO,0.5,50,0,19.0,-8.497193536546433,152.0
PPO,0.5,50,1,0.0,-26.677081657825482,126.0
PPO,0.5,50,1,1.0,27.015822613191574,144.0
PPO,0.5,50,1,2.0,9.424478557952611,137.0
PPO,0.5,50,1,3.0,26.803972087727544,118.0
PPO,0.5,50,1,4.0,27.493117617294942,123.0
PPO,0.5,50,1,5.0,-30.606808441575836,124.0
PPO,0.5,50,1,6.0,-24.528828063381567,139.0
PPO,0.5,50,1,7.0,-3.4304570888521937,122.0
PPO,0.5,50,1,8.0,-15.1359409832166,119.0
PPO,0.5,50,1,9.0,1.1774161119735567,139.0
PPO,0.5,50,1,10.0,-14.014043425477837,120.0
PPO,0.5,50,1,11.0,14.630796463800593,138.0
PPO,0.5,50,1,12.0,-16.10892639262194,141.0
PPO,0.5,50,1,13.0,-43.1500454203902,126.0
PPO,0.5,50,1,14.0,30.050942763432857,161.0
PPO,0.5,50,1,15.0,17.565753990414493,123.0
PPO,0.5,50,1,16.0,33.04621140085118,126.0
PPO,0.5,50,1,17.0,-9.666208571563985,135.0
PPO,0.5,50,1,18.0,34.492573078835875,129.0
PPO,0.5,50,1,19.0,-43.28293052849938,124.0
PPO,0.5,50,2,0.0,-34.243958060676505,149.0
PPO,0.5,50,2,1.0,33.726079187568416,207.0
PPO,0.5,50,2,2.0,-17.850604549035253,154.0
PPO,0.5,50,2,3.0,7.307918279801839,184.0
PPO,0.5,50,2,4.0,-50.89721983384054,143.0
PPO,0.5,50,2,5.0,-4.101858498104519,151.0
PPO,0.5,50,2,6.0,-66.73533350094927,150.0
PPO,0.5,50,2,7.0,34.012152084907285,182.0
PPO,0.5,50,2,8.0,-9.49569302522788,153.0
PPO,0.5,50,2,9.0,-67.64487120712229,135.0
PPO,0.5,50,2,10.0,21.419673138432415,179.0
PPO,0.5,50,2,11.0,34.739874666788154,161.0
PPO,0.5,50,2,12.0,-38.515714991100126,157.0
PPO,0.5,50,2,13.0,-16.24639351714326,145.0
PPO,0.5,50,2,14.0,-4.56169230794292,157.0
PPO,0.5,50,2,15.0,-9.663885968664005,159.0
PPO,0.5,50,2,16.0,-15.676783731048317,155.0
PPO,0.5,50,2,17.0,37.70612627508825,161.0
PPO,0.5,50,2,18.0,31.888639537751203,168.0
PPO,0.5,50,2,19.0,20.916030292354066,238.0
PPO,0.5,50,3,0.0,-31.82353230969302,152.0
PPO,0.5,50,3,1.0,-8.7288079894264,146.0
PPO,0.5,50,3,2.0,15.232897867025528,163.0
PPO,0.5,50,3,3.0,0.8400308235374325,137.0
PPO,0.5,50,3,4.0,44.41163680476248,195.0
PPO,0.5,50,3,5.0,10.826358711699555,152.0
PPO,0.5,50,3,6.0,0.08944957636491324,188.0
PPO,0.5,50,3,7.0,22.023055879532492,175.0
PPO,0.5,50,3,8.0,22.4608717960553,196.0
PPO,0.5,50,3,9.0,23.430241504868846,182.0
PPO,0.5,50,3,10.0,-20.11777723043454,157.0
PPO,0.5,50,3,11.0,-20.777814903025956,148.0
PPO,0.5,50,3,12.0,12.773906293716777,186.0
PPO,0.5,50,3,13.0,11.601050882238951,155.0
PPO,0.5,50,3,14.0,15.869874221083165,173.0
PPO,0.5,50,3,15.0,-10.000724445568167,157.0
PPO,0.5,50,3,16.0,-4.556046168708292,177.0
PPO,0.5,50,3,17.0,-4.872200126134601,165.0
PPO,0.5,50,3,18.0,-15.24048260300178,147.0
PPO,0.5,50,3,19.0,-6.379843279045431,133.0
PPO,0.5,50,4,0.0,-14.763952397508532,153.0
PPO,0.5,50,4,1.0,-15.761738820716488,141.0
PPO,0.5,50,4,2.0,-22.151704707957535,136.0
PPO,0.5,50,4,3.0,-20.22079578992178,154.0
PPO,0.5,50,4,4.0,-26.268965927703476,141.0
PPO,0.5,50,4,5.0,8.130138107484953,167.0
PPO,0.5,50,4,6.0,28.07178559243522,148.0
PPO,0.5,50,4,7.0,-0.08438053485669172,158.0
PPO,0.5,50,4,8.0,-13.700572536514656,123.0
PPO,0.5,50,4,9.0,-17.786934183886032,138.0
PPO,0.5,50,4,10.0,5.099965179993603,171.0
PPO,0.5,50,4,11.0,-64.59068592170057,148.0
PPO,0.5,50,4,12.0,-64.2064121556632,129.0
PPO,0.5,50,4,13.0,-52.12673658979499,134.0
PPO,0.5,50,4,14.0,-11.72695792911746,143.0
PPO,0.5,50,4,15.0,13.256256328428165,181.0
PPO,0.5,50,4,16.0,0.7159392985800537,136.0
PPO,0.5,50,4,17.0,41.294036387616615,169.0
PPO,0.5,50,4,18.0,-41.43918084812408,140.0
PPO,0.5,50,4,19.0,5.143157638187802,143.0
PPO,0.5,100,0,0.0,30.710074190314856,194.0
PPO,0.5,100,0,1.0,-30.811741785150005,198.0
PPO,0.5,100,0,2.0,11.781978032040541,209.0
PPO,0.5,100,0,3.0,55.01878861570336,209.0
PPO,0.5,100,0,4.0,-1.390917583012893,191.0
PPO,0.5,100,0,5.0,-0.7486776757747293,198.0
PPO,0.5,100,0,6.0,17.64632923323103,200.0
PPO,0.5,100,0,7.0,28.824438092272402,198.0
PPO,0.5,100,0,8.0,13.80554823350046,174.0
PPO,0.5,100,0,9.0,-10.54635546682222,182.0
PPO,0.5,100,0,10.0,11.447001939228983,210.0
PPO,0.5,100,0,11.0,-8.393422239730398,177.0
PPO,0.5,100,0,12.0,6.733647337583193,199.0
PPO,0.5,100,0,13.0,19.36247183790337,199.0
PPO,0.5,100,0,14.0,5.874617604274789,208.0
PPO,0.5,100,0,15.0,34.25402810401192,213.0
PPO,0.5,100,0,16.0,-14.82627251877419,223.0
PPO,0.5,100,0,17.0,-26.643213569993407,171.0
PPO,0.5,100,0,18.0,26.558667709462256,196.0
PPO,0.5,100,0,19.0,17.89062378850484,190.0
