algo,fault_step,TPR_int,FPR_int,J_int,J_ext,TPR_ext,FPR_ext,dJ,FPR_ratio
PPO,0,0.7699999999999999,0.09999999999999999,0.6699999999999999,0.93,0.93,0.0,0.26,
PPO,50,0.6300000000000001,0.09999999999999999,0.5300000000000001,0.92,0.92,0.0,0.39,
SAC,0,0.99,0.32,0.6699999999999999,0.85,0.88,0.03,0.18,10.7
SAC,50,0.8600000000000001,0.32,0.54,0.77,0.84,0.07,0.23,4.6
PPO_DR,0,0.8699999999999999,0.01,0.8599999999999999,1.0,1.0,0.0,0.14,
PPO_DR,50,0.8700000000000001,0.01,0.8600000000000001,0.99,1.0,0.01,0.13,1.0
